Posición,Jugador,Puntos,Record,OPW%,OOPW%,Pokémon del Deck
132,Gabriel Eduardo Reiter,21,6 - 3 - 3,65.80%,58.35%,gholdengo
133,Jorge Villar,21,6 - 3 - 3,65.45%,58.93%,"klawf, brute-bonnet"
134,Maciej Chojnacki,21,7 - 5 - 0,64.41%,58.67%,"raging-bolt, ogerpon"
135,Jorge Nieto,21,7 - 5 - 0,62.67%,60.63%,"raging-bolt, ogerpon"
136,Yuri Bezerra,21,7 - 5 - 0,56.45%,57.76%,"raging-bolt, ogerpon"
137,Lucas de Carvalho,21,7 - 5 - 0,56.03%,53.42%,"raging-bolt, ogerpon"
138,Matías Martini,21,7 - 5 - 0,55.73%,56.78%,"raging-bolt, ogerpon"
139,Lucas Caique de Lima,21,6 - 3 - 3,55.73%,53.97%,"terapagos, noctowl"
140,Theo Thadeu Vita Calegari,21,6 - 3 - 3,53.94%,55.03%,"klawf, brute-bonnet"
141,Alex Silva,21,7 - 5 - 0,53.30%,56.44%,regidrago
142,Pablo Andres Lippo,21,7 - 5 - 0,53.15%,55.64%,"dragapult, dusknoir"
143,André Bernacchi,21,7 - 5 - 0,51.49%,56.26%,"lugia, archeops"
144,Henrique de Almeida Scabbia,21,7 - 5 - 0,50.64%,56.02%,snorlax
145,Benjamin Chang,20,5 - 2 - 5,66.32%,60.53%,gardevoir
146,Corey Blankenship,20,6 - 4 - 2,64.58%,56.54%,"lugia, archeops"
147,Leonardo Danna,20,6 - 4 - 2,63.37%,60.01%,"lugia, archeops"
148,Caio Pires,20,6 - 4 - 2,63.37%,58.05%,"raging-bolt, ogerpon"
149,Daniel Velazquez,20,6 - 4 - 2,61.81%,59.67%,"raging-bolt, ogerpon"
150,Patricio Molina,20,6 - 4 - 2,59.65%,59.34%,"dragapult, dusknoir"
151,Felipe Díaz,20,6 - 4 - 2,58.68%,58.37%,"dragapult, dusknoir"
152,Hiroshi Takeda,20,6 - 4 - 2,58.33%,56.66%,iron-thorns
153,Alex Frindt,20,6 - 4 - 2,57.56%,57.05%,"lugia, archeops"
154,Diego Leyva,19,6 - 5 - 1,61.98%,55.59%,"terapagos, noctowl"
155,SAMUEL ROCHA,18,5 - 4 - 3,60.42%,57.25%,gardevoir
156,Nayara Marina Roca Conderé,18,6 - 6 - 0,58.68%,53.92%,"lugia, archeops"
157,Joaquin Orrego,18,6 - 6 - 0,58.36%,58.53%,iron-thorns
158,Shankithan Thevakumar,18,6 - 6 - 0,58.09%,56.13%,iron-thorns
